test_id,repetition,function,sample_n,sampler,feature,value
603,4,3,100,"Latin Hypercube (rnd)",sss.std,0.178672231450031
603,4,3,100,"Latin Hypercube (rnd)",sss.max,0.82109893508547
603,4,3,100,"Latin Hypercube (rnd)",sss.skew,2.37504010936118
603,4,3,100,"Latin Hypercube (rnd)",sss.skew_p,0.0175470433307894
603,4,3,100,"Latin Hypercube (rnd)",sss.weight.0,0.389931922198153
603,4,3,100,"Latin Hypercube (rnd)",sss.weight.1,0.610068077801847
603,4,3,100,"Latin Hypercube (rnd)",sss.mean.0,0.541048245231901
603,4,3,100,"Latin Hypercube (rnd)",sss.mean.1,0.25586577881924
603,4,3,100,"Latin Hypercube (rnd)",sss.cov.0,0.0154051558836833
603,4,3,100,"Latin Hypercube (rnd)",sss.cov.1,0.0107706738358425
604,4,4,100,"Latin Hypercube (rnd)",sss.mean,0.376407943125734
604,4,4,100,"Latin Hypercube (rnd)",sss.std,0.178177880739816
604,4,4,100,"Latin Hypercube (rnd)",sss.max,0.800479395855928
604,4,4,100,"Latin Hypercube (rnd)",sss.skew,0.69092610417693
604,4,4,100,"Latin Hypercube (rnd)",sss.skew_p,0.48961198052834
604,4,4,100,"Latin Hypercube (rnd)",sss.weight.0,0.483335648932916
604,4,4,100,"Latin Hypercube (rnd)",sss.weight.1,0.516664351067084
604,4,4,100,"Latin Hypercube (rnd)",sss.mean.0,0.512096643825354
604,4,4,100,"Latin Hypercube (rnd)",sss.mean.1,0.249472175116843
604,4,4,100,"Latin Hypercube (rnd)",sss.cov.0,0.0157819375167375
604,4,4,100,"Latin Hypercube (rnd)",sss.cov.1,0.0133483851289186
605,4,5,100,"Latin Hypercube (rnd)",sss.mean,0.363961929578562
605,4,5,100,"Latin Hypercube (rnd)",sss.std,0.176335926709126
605,4,5,100,"Latin Hypercube (rnd)",sss.max,0.801713984963162
605,4,5,100,"Latin Hypercube (rnd)",sss.skew,1.27059506749204
605,4,5,100,"Latin Hypercube (rnd)",sss.skew_p,0.203872742628034
605,4,5,100,"Latin Hypercube (rnd)",sss.weight.0,0.484632003207964
605,4,5,100,"Latin Hypercube (rnd)",sss.weight.1,0.515367996792036
605,4,5,100,"Latin Hypercube (rnd)",sss.mean.0,0.498378920895689
605,4,5,100,"Latin Hypercube (rnd)",sss.mean.1,0.237561423197305
605,4,5,100,"Latin Hypercube (rnd)",sss.cov.0,0.016534360769927
605,4,5,100,"Latin Hypercube (rnd)",sss.cov.1,0.0118204912525866
606,4,6,100,"Latin Hypercube (rnd)",sss.mean,0.359019047796203
606,4,6,100,"Latin Hypercube (rnd)",sss.std,0.17050211915657
606,4,6,100,"Latin Hypercube (rnd)",sss.max,0.880795021780299
606,4,6,100,"Latin Hypercube (rnd)",sss.skew,1.47721203872785
606,4,6,100,"Latin Hypercube (rnd)",sss.skew_p,0.139618807724098
606,4,6,100,"Latin Hypercube (rnd)",sss.weight.0,0.547764923317375
606,4,6,100,"Latin Hypercube (rnd)",sss.weight.1,0.452235076682625
606,4,6,100,"Latin Hypercube (rnd)",sss.mean.0,0.237662744481053
606,4,6,100,"Latin Hypercube (rnd)",sss.mean.1,0.50601057854417
606,4,6,100,"Latin Hypercube (rnd)",sss.cov.0,0.00999290731665028
606,4,6,100,"Latin Hypercube (rnd)",sss.cov.1,0.012736428538232
607,4,7,100,"Latin Hypercube (rnd)",sss.mean,0.392486005632335
607,4,7,100,"Latin Hypercube (rnd)",sss.std,0.169023431104827
607,4,7,100,"Latin Hypercube (rnd)",sss.max,0.856910937216631
607,4,7,100,"Latin Hypercube (rnd)",sss.skew,1.03497412639459
607,4,7,100,"Latin Hypercube (rnd)",sss.skew_p,0.300680994600547
607,4,7,100,"Latin Hypercube (rnd)",sss.weight.0,0.52708791468086
607,4,7,100,"Latin Hypercube (rnd)",sss.weight.1,0.47291208531914
607,4,7,100,"Latin Hypercube (rnd)",sss.mean.0,0.265810294625854
607,4,7,100,"Latin Hypercube (rnd)",sss.mean.1,0.533673423818239
607,4,7,100,"Latin Hypercube (rnd)",sss.cov.0,0.00992466597777094
607,4,7,100,"Latin Hypercube (rnd)",sss.cov.1,0.0115322326363716
608,4,8,100,"Latin Hypercube (rnd)",sss.mean,0.385260026774719
608,4,8,100,"Latin Hypercube (rnd)",sss.std,0.159994931462938
608,4,8,100,"Latin Hypercube (rnd)",sss.max,0.728516684838497
608,4,8,100,"Latin Hypercube (rnd)",sss.skew,-0.470521059616031
608,4,8,100,"Latin Hypercube (rnd)",sss.skew_p,0.637982791780898
608,4,8,100,"Latin Hypercube (rnd)",sss.weight.0,0.534663076347369
608,4,8,100,"Latin Hypercube (rnd)",sss.weight.1,0.465336923652631
608,4,8,100,"Latin Hypercube (rnd)",sss.mean.0,0.265637969972994
608,4,8,100,"Latin Hypercube (rnd)",sss.mean.1,0.52270344387255
608,4,8,100,"Latin Hypercube (rnd)",sss.cov.0,0.0105081291159946
