test_id,function,dimensions,sample_n,sampler,feature,value,n
143,23,5,316,Latin Hypercube (hc),t.generation,0.0004681999998865649,1580
143,23,5,316,Latin Hypercube (hc),t.ic.calculate,1.1047777000021597,1580
144,24,5,316,Latin Hypercube (hc),t.generation,0.00045590000081574544,1580
144,24,5,316,Latin Hypercube (hc),t.ic.calculate,1.2399672000028659,1580
145,1,5,316,Latin Hypercube (rnd),t.generation,0.0005230999995546881,1580
145,1,5,316,Latin Hypercube (rnd),t.ic.calculate,1.057018399998924,1580
146,2,5,316,Latin Hypercube (rnd),t.generation,0.0004957999990438111,1580
146,2,5,316,Latin Hypercube (rnd),t.ic.calculate,1.5070629000001645,1580
147,3,5,316,Latin Hypercube (rnd),t.generation,0.00044830000115325674,1580
147,3,5,316,Latin Hypercube (rnd),t.ic.calculate,1.1152791999993497,1580
148,4,5,316,Latin Hypercube (rnd),t.generation,0.0005094000007375143,1580
148,4,5,316,Latin Hypercube (rnd),t.ic.calculate,1.1769927000023017,1580
149,5,5,316,Latin Hypercube (rnd),t.generation,0.0005057000016677193,1580
149,5,5,316,Latin Hypercube (rnd),t.ic.calculate,1.0673744000014267,1580
150,6,5,316,Latin Hypercube (rnd),t.generation,0.0004434000002220273,1580
150,6,5,316,Latin Hypercube (rnd),t.ic.calculate,1.362075699998968,1580
151,7,5,316,Latin Hypercube (rnd),t.generation,0.0005094000007375143,1580
151,7,5,316,Latin Hypercube (rnd),t.ic.calculate,1.152037100000598,1580
152,8,5,316,Latin Hypercube (rnd),t.generation,0.0004953999996359926,1580
152,8,5,316,Latin Hypercube (rnd),t.ic.calculate,1.3195011999996495,1580
153,9,5,316,Latin Hypercube (rnd),t.generation,0.0004894000012427568,1580
153,9,5,316,Latin Hypercube (rnd),t.ic.calculate,1.3175897000000987,1580
154,10,5,316,Latin Hypercube (rnd),t.generation,0.0005147999982000329,1580
154,10,5,316,Latin Hypercube (rnd),t.ic.calculate,1.511510400003317,1580
155,11,5,316,Latin Hypercube (rnd),t.generation,0.000500300000567222,1580
155,11,5,316,Latin Hypercube (rnd),t.ic.calculate,1.5085265999987314,1580
156,12,5,316,Latin Hypercube (rnd),t.generation,0.0005056999980297405,1580
156,12,5,316,Latin Hypercube (rnd),t.ic.calculate,1.614554899999348,1580
157,13,5,316,Latin Hypercube (rnd),t.generation,0.0004571999998006504,1580
157,13,5,316,Latin Hypercube (rnd),t.ic.calculate,1.1628887000006216,1580
158,14,5,316,Latin Hypercube (rnd),t.generation,0.0005034999994677491,1580
158,14,5,316,Latin Hypercube (rnd),t.ic.calculate,1.1210750999998709,1580
159,15,5,316,Latin Hypercube (rnd),t.generation,0.00046350000047823414,1580
159,15,5,316,Latin Hypercube (rnd),t.ic.calculate,1.1679919000016525,1580
160,16,5,316,Latin Hypercube (rnd),t.generation,0.000525699997524498,1580
160,16,5,316,Latin Hypercube (rnd),t.ic.calculate,1.0786893000004056,1580
161,17,5,316,Latin Hypercube (rnd),t.generation,0.0005151000004843809,1580
161,17,5,316,Latin Hypercube (rnd),t.ic.calculate,1.0650939999977709,1580
162,18,5,316,Latin Hypercube (rnd),t.generation,0.0005197999998927116,1580
162,18,5,316,Latin Hypercube (rnd),t.ic.calculate,1.1125198999980057,1580
163,19,5,316,Latin Hypercube (rnd),t.generation,0.0004666999993787613,1580
163,19,5,316,Latin Hypercube (rnd),t.ic.calculate,1.06999359999827,1580
164,20,5,316,Latin Hypercube (rnd),t.generation,0.0005315000016707927,1580
164,20,5,316,Latin Hypercube (rnd),t.ic.calculate,1.3264402999993763,1580
165,21,5,316,Latin Hypercube (rnd),t.generation,0.0004958999998052604,1580
165,21,5,316,Latin Hypercube (rnd),t.ic.calculate,1.03181019999829,1580
166,22,5,316,Latin Hypercube (rnd),t.generation,0.0005037000009906478,1580
166,22,5,316,Latin Hypercube (rnd),t.ic.calculate,1.0229738999987603,1580
167,23,5,316,Latin Hypercube (rnd),t.generation,0.0005165999973542057,1580
167,23,5,316,Latin Hypercube (rnd),t.ic.calculate,1.020980299999792,1580
168,24,5,316,Latin Hypercube (rnd),t.generation,0.00048660000175004825,1580
168,24,5,316,Latin Hypercube (rnd),t.ic.calculate,1.0758380000006582,1580
169,1,5,316,Hilbert Curve,t.generation,0.028996400000323774,1580
169,1,5,316,Hilbert Curve,t.ic.calculate,1.0802953999991587,1580
170,2,5,316,Hilbert Curve,t.generation,0.0290097999968566,1580
170,2,5,316,Hilbert Curve,t.ic.calculate,1.5115454000006139,1580
171,3,5,316,Hilbert Curve,t.generation,0.028574600000865757,1580
171,3,5,316,Hilbert Curve,t.ic.calculate,1.1475636000031955,1580
172,4,5,316,Hilbert Curve,t.generation,0.029201400000602007,1580
172,4,5,316,Hilbert Curve,t.ic.calculate,1.21645720000015,1580
173,5,5,316,Hilbert Curve,t.generation,0.028989399997954024,1580
173,5,5,316,Hilbert Curve,t.ic.calculate,1.06376249999812,1580
174,6,5,316,Hilbert Curve,t.generation,0.028880699999717763,1580
174,6,5,316,Hilbert Curve,t.ic.calculate,1.3725862999999663,1580
175,7,5,316,Hilbert Curve,t.generation,0.029078899999149144,1580
175,7,5,316,Hilbert Curve,t.ic.calculate,1.1560487000024295,1580
176,8,5,316,Hilbert Curve,t.generation,0.029218100000434788,1580
176,8,5,316,Hilbert Curve,t.ic.calculate,1.3342062000010628,1580
177,9,5,316,Hilbert Curve,t.generation,0.028597799999261042,1580
177,9,5,316,Hilbert Curve,t.ic.calculate,1.3350537000005716,1580
178,10,5,316,Hilbert Curve,t.generation,0.02886190000208444,1580
178,10,5,316,Hilbert Curve,t.ic.calculate,1.5159877000005508,1580
179,11,5,316,Hilbert Curve,t.generation,0.028977400001167553,1580
179,11,5,316,Hilbert Curve,t.ic.calculate,1.5167424000028404,1580
